Laser Power (dBm),Length of Segment 1 (Km),Q (dB),Compensation (%), fiberAeff_1, fiberAeff_2, fiberAlphadB_1, fiberAlphadB_2
-9,0,4.8209,0,250,112,0.16,0.158
-8,0,5.5555,0,250,112,0.16,0.158
-7,0,6.1533,0,250,112,0.16,0.158
-6,0,6.3825,0,250,112,0.16,0.158
-5,0,6.2083,0,250,112,0.16,0.158
-4,0,5.4519,0,250,112,0.16,0.158
-3,0,4.6411,0,250,112,0.16,0.158
-2,0,2.9553,0,250,112,0.16,0.158
-1,0,1.8352,0,250,112,0.16,0.158
0,0,0.52065,0,250,112,0.16,0.158
1,0,-2.3361,0,250,112,0.16,0.158
2,0,-4.4091,0,250,112,0.16,0.158
-9,1,4.8502,0,250,112,0.16,0.158
-8,1,5.5923,0,250,112,0.16,0.158
-7,1,6.1112,0,250,112,0.16,0.158
-6,1,6.4461,0,250,112,0.16,0.158
-5,1,6.4789,0,250,112,0.16,0.158
-4,1,5.7639,0,250,112,0.16,0.158
-3,1,5.1653,0,250,112,0.16,0.158
-2,1,4.3699,0,250,112,0.16,0.158
-1,1,2.1476,0,250,112,0.16,0.158
0,1,0.31632,0,250,112,0.16,0.158
1,1,-2.5114,0,250,112,0.16,0.158
2,1,-4.0578,0,250,112,0.16,0.158
-9,2,4.8874,0,250,112,0.16,0.158
-8,2,5.5951,0,250,112,0.16,0.158
-7,2,6.1807,0,250,112,0.16,0.158
-6,2,6.6013,0,250,112,0.16,0.158
-5,2,6.559,0,250,112,0.16,0.158
-4,2,6.4343,0,250,112,0.16,0.158
-3,2,4.407,0,250,112,0.16,0.158
-2,2,4.8755,0,250,112,0.16,0.158
-1,2,2.568,0,250,112,0.16,0.158
0,2,0.87279,0,250,112,0.16,0.158
1,2,-1.5232,0,250,112,0.16,0.158
2,2,-2.3355,0,250,112,0.16,0.158
-9,3,4.8025,0,250,112,0.16,0.158
-8,3,5.4323,0,250,112,0.16,0.158
-7,3,6.0363,0,250,112,0.16,0.158
-6,3,6.438,0,250,112,0.16,0.158
-5,3,6.5729999999999995,0,250,112,0.16,0.158
-4,3,6.4321,0,250,112,0.16,0.158
-3,3,6.0446,0,250,112,0.16,0.158
-2,3,4.8469999999999995,0,250,112,0.16,0.158
-1,3,3.123,0,250,112,0.16,0.158
0,3,1.6808,0,250,112,0.16,0.158
1,3,-0.7821600000000001,0,250,112,0.16,0.158
2,3,-3.0472,0,250,112,0.16,0.158
-9,4,4.7523,0,250,112,0.16,0.158
-8,4,5.4371,0,250,112,0.16,0.158
-7,4,6.0223,0,250,112,0.16,0.158
-6,4,6.4797,0,250,112,0.16,0.158
-5,4,6.6823,0,250,112,0.16,0.158
-4,4,6.584,0,250,112,0.16,0.158
-3,4,5.7954,0,250,112,0.16,0.158
-2,4,5.0279,0,250,112,0.16,0.158
-1,4,4.0717,0,250,112,0.16,0.158
1,4,0.19125,0,250,112,0.16,0.158
-9,5,4.6579,0,250,112,0.16,0.158
-9,6,4.6033,0,250,112,0.16,0.158
-8,6,5.2784,0,250,112,0.16,0.158
-7,6,5.8279,0,250,112,0.16,0.158
-6,6,6.3401,0,250,112,0.16,0.158
-5,6,6.6346,0,250,112,0.16,0.158
-4,6,6.7814,0,250,112,0.16,0.158
-3,6,6.4291,0,250,112,0.16,0.158
-2,6,5.3739,0,250,112,0.16,0.158
-8,7,5.1638,0,250,112,0.16,0.158
-7,7,5.7085,0,250,112,0.16,0.158
-6,7,6.2424,0,250,112,0.16,0.158
-5,7,6.5467,0,250,112,0.16,0.158
-4,7,6.7052,0,250,112,0.16,0.158
-3,7,6.5723,0,250,112,0.16,0.158
-1,7,5.1051,0,250,112,0.16,0.158
1,7,2.2049,0,250,112,0.16,0.158
-3,10,6.8123,0,250,112,0.16,0.158
